amount,currency,epoch_date,status,transaction_type,gateway
300.0,MXN,1467374527.44,gateway_processing_failed,Authorization,GB
72630.0,MXN,1454588496.66,gateway_processing_failed,Purchase,GB
10900.0,MXN,1475466410.28,succeeded,Purchase,GB
8300.0,MXN,1465798533.33,gateway_processing_failed,Purchase,GB
18850.0,MXN,1462394592.95,succeeded,Purchase,GB
300.0,MXN,1474161923.23,succeeded,Authorization,GB
12408.0,MXN,1467986467.24,succeeded,Purchase,GB
8400.0,MXN,1412130708.03,succeeded,Purchase,GA
29824.0,MXN,1472192288.73,gateway_processing_failed,Purchase,GB
300.0,MXN,1468237944.35,gateway_processing_failed,Authorization,GB
10900.0,MXN,1479170967.35,succeeded,Purchase,GB
10900.0,MXN,1469250121.44,gateway_processing_failed,Purchase,GB
300.0,MXN,1473362108.2,gateway_processing_failed,Authorization,GB
300.0,MXN,1477950068.11,gateway_processing_failed,Authorization,GA
19680.0,MXN,1460614370.6,gateway_processing_failed,Purchase,GB
13130.0,MXN,1452339939.51,succeeded,Purchase,GB
4660.0,MXN,1478395140.23,succeeded,Purchase,GA
19450.0,MXN,1465453666.56,gateway_processing_failed,Purchase,GB
7759.0,MXN,1473953848.71,succeeded,Purchase,GB
2853.0,MXN,1473987586.79,gateway_processing_failed,Purchase,GB
10900.0,MXN,1468876711.17,gateway_processing_failed,Purchase,GB
10900.0,MXN,1476886916.79,gateway_processing_failed,Purchase,GB
300.0,MXN,1448777809.19,gateway_processing_failed,Authorization,GB
11630.0,MXN,1448690654.38,gateway_processing_failed,Purchase,GB
5860.0,MXN,1471107908.89,succeeded,Purchase,GB
45197.0,MXN,1479017212.7,gateway_processing_failed,Purchase,GA
22300.0,MXN,1465538834.95,gateway_processing_failed,Purchase,GB
300.0,MXN,1465159959.3,gateway_processing_failed,Authorization,GB
87260.0,MXN,1452499211.36,succeeded,Purchase,GB
2680.0,MXN,1467181262.12,gateway_processing_failed,Purchase,GB
300.0,MXN,1475293290.44,succeeded,Authorization,GB
300.0,MXN,1474932536.66,gateway_processing_failed,Authorization,GB
13610.0,MXN,1448380152.87,succeeded,Purchase,GB
